,Removed_node,Measurement,Difference_from_full,Removed_node_cen,Measurement_cen,Difference_from_full_cen,Removed_node_cen,Measurement_cen,Difference_from_full_cen
1,Stratford,0.030625,0.007985636114911212,Green Park,0.02979166666666667,-0.01944254445964403,Bank and Monument,0.029869047619047618,-0.016895641977721212
2,Bank and Monument,0.030027449576321752,-0.011682028992747664,Bank and Monument,0.02927556987707364,-0.03642925958633119,Liverpool Street,0.02994390738751641,-0.014431721280923484
3,Liverpool Street,0.03010289542952859,-0.009198818010317371,King's Cross St. Pancras,0.029516630772912188,-0.02849502544970268,Stratford,0.03010289542952859,-0.009198818010317371
4,King's Cross St. Pancras,0.03034664747511095,-0.0011760078643370721,Westminster,0.02807964495621927,-0.07579171320569662,Waterloo,0.029087201631282235,-0.04262917749842589
5,Waterloo,0.029329004329004333,-0.034670527830582276,Waterloo,0.02815055315055316,-0.07345785389560999,Moorgate,0.02916065416065416,-0.04021157441130065
6,Green Park,0.028306208559373124,-0.0683346403029857,Oxford Circus,0.029909584086799283,-0.015561432108904455,Green Park,0.028137432188065102,-0.07388971484973125
7,Euston,0.02499395697365241,-0.17735348182479196,Bond Street,0.030033840947546533,-0.011471664571860874,Oxford Circus,0.029900894367899444,-0.015847443923856723
8,Westminster,0.025057554828547202,-0.1752602336869415,Angel,0.030110262934690418,-0.008956325295962308,Tower Hill,0.029976978068581125,-0.013343238946563654
9,Baker Street,0.021598639455782314,-0.2891063402105027,Farringdon,0.030187074829931975,-0.00642815265641118,Westminster,0.03005344995140914,-0.010826257413264054
10,Finchley Road,0.0216538789428815,-0.2872881978580999,Moorgate,0.030264279624893437,-0.0038870481875017703,Shadwell,0.030130312994763125,-0.00829640129411641
