,Removed_node,Measurement,Difference_from_full,Removed_node_cen,Measurement_cen,Difference_from_full_cen,Removed_node_cen,Measurement_cen,Difference_from_full_cen
1,Stratford,0.030625,0.007985636114911212,Green Park,0.02979166666666667,-0.01944254445964403,Bank and Monument,0.029869047619047618,-0.016895641977721212
2,King's Cross St. Pancras,0.030868838763575608,0.016011300481024955,King's Cross St. Pancras,0.03003341687552214,-0.011485622400734852,Oxford Circus,0.028857858933046907,-0.050177721027211096
3,Waterloo,0.029971284996410625,-0.01353061968038339,Waterloo,0.028715003589375454,-0.05487963562192404,Stratford,0.029014118210098108,-0.04503463182631933
4,Bank and Monument,0.029255127743792735,-0.03710208821388058,Bank and Monument,0.02807964495621927,-0.07579171320569662,Earl's Court,0.022286194074607173,-0.26647629352250524
5,West Hampstead,0.029329004329004333,-0.034670527830582276,West Hampstead,0.02815055315055316,-0.07345785389560999,Westminster,0.02124819624819625,-0.30064076370505904
6,Canada Water,0.02940325497287523,-0.03222665574914076,Canada Water,0.028221820373719116,-0.07111217757635836,Baker Street,0.01780590717299578,-0.4139396353183604
7,Stockwell,0.029477882523567808,-0.029770378225661347,Victoria,0.028293449359439216,-0.06875459427071458,King's Cross St. Pancras,0.01785109983079526,-0.41245217246383853
8,Vauxhall,0.029552889858233372,-0.02730160056211349,Embankment,0.02794135465891192,-0.08034337470120262,Canning Town,0.014927905004240878,-0.5086656711326463
9,Pimlico,0.029628279883381927,-0.024820227094159684,Charing Cross,0.026311953352769684,-0.13397319060514543,Turnham Green,0.011734693877551019,-0.613766436807281
10,Victoria,0.0298745585190598,-0.016714257224926237,Piccadilly Circus,0.026379247351114365,-0.13175828827932734,Leicester Square,0.009633418584825235,-0.6829274266061626
