,Removed_node,Measurement,Difference_from_full,Removed_node_cen,Measurement_cen,Difference_from_full_cen,Removed_node_cen,Measurement_cen,Difference_from_full_cen
1,Stratford,18.526152882205515,0.367647740498921,Green Park,13.82453634085213,0.020562445437445388,Bank and Monument,14.130739348370927,0.04316713050237835
2,Bank and Monument,18.88896865278775,0.3944317237689055,Bank and Monument,14.382728177226987,0.061769586965262295,Liverpool Street,14.516907847508218,0.0716750716089348
3,Liverpool Street,19.044859055985217,0.4059399499534829,King's Cross St. Pancras,15.98377276812273,0.1799627720857289,Stratford,19.044859055985217,0.4059399499534829
4,King's Cross St. Pancras,20.26833829478666,0.4962603001704638,Westminster,16.080248327099714,0.18708484330511171,Waterloo,19.51073709386052,0.4403322520088234
5,Waterloo,21.000600946170568,0.5503177921378802,Waterloo,16.855721774709117,0.24433226618795953,Moorgate,19.531325917401865,0.441852171345282
6,Green Park,21.404382188524064,0.58012595075947,Oxford Circus,17.43183190901497,0.28686218205725633,Green Park,19.826588703977382,0.46364922146577886
7,Euston,22.489027524831766,0.6601972290694287,Bond Street,17.464266800997144,0.2892566083051015,Oxford Circus,19.93027731494039,0.47130377853441013
8,Westminster,22.68985304045282,0.6750226795782323,Angel,17.462494157968532,0.28912574728672347,Tower Hill,19.98639455782313,0.4754464961790067
9,Baker Street,23.796857873584216,0.7567445928313469,Farringdon,17.460527689336605,0.28898057756917245,Westminster,20.150621118012424,0.4875701186817948
10,Finchley Road,24.23269722604761,0.7889193627043519,Moorgate,17.601324677028003,0.2993745694200198,Shadwell,20.51811922093252,0.5146997636378755
