,Removed_node,Measurement,Difference_from_full,Removed_node_cen,Measurement_cen,Difference_from_full_cen,Removed_node_cen,Measurement_cen,Difference_from_full_cen
1,Stratford,18.526152882205515,0.367647740498921,Green Park,13.82453634085213,0.020562445437445388,Bank and Monument,14.130739348370927,0.04316713050237835
2,King's Cross St. Pancras,19.311582977544365,0.4256301884491265,King's Cross St. Pancras,14.65848037178373,0.08212631554356231,Oxford Circus,14.243535975617435,0.051494064505916655
3,Waterloo,19.788071339063073,0.4608057715908928,Waterloo,15.114818424616786,0.11581435163119859,Stratford,19.01612596989988,0.4038188004351758
4,Bank and Monument,20.745299341017226,0.5314707781002767,Bank and Monument,16.70242729562629,0.2330156777261445,Earl's Court,19.258758873368446,0.421730578682359
5,West Hampstead,22.796343178621658,0.6828840525129184,West Hampstead,18.974696330392533,0.40076035904034474,Westminster,19.447308528321187,0.43564979392405406
6,Canada Water,29.796800102807943,1.1996755934064105,Canada Water,25.941181006232732,0.9150439821278245,Baker Street,20.253498682773245,0.4951648022562951
7,Stockwell,34.30952842252102,1.5328166793719245,Victoria,32.145064000723316,1.3730304088664465,King's Cross St. Pancras,21.753684400873148,0.6059123287791265
8,Vauxhall,39.324739055927715,1.9030522881632663,Embankment,36.37322791712105,1.6851642265828428,Canning Town,23.288700212909593,0.7192311014520115
9,Pimlico,44.346873532021505,2.273799032637595,Charing Cross,41.16441359152357,2.0388617429301936,Turnham Green,23.692585729944152,0.7490469578958558
10,Victoria,50.93438258246442,2.760105710858308,Piccadilly Circus,46.655374122893306,2.4442184196048036,Leicester Square,24.162069643911074,0.7837054548984462
